Title,Authors,Year,Venue,Type,Bucket,Key Contribution,Gap It Leaves,Relevance to Our Angle,Link,Read (Y/N)
"Joint Optimization of Resource Allocation and Request Batching for Multi-Tenant Inference Serving on GPU","Zhang, Yang, Pan, Yuan",2026,IEEE Transactions on Parallel and Distributed Systems,Journal (Base Paper),Cluster/multi-tenant scheduling,"Jointly optimizes resource allocation + batching via DRS (deep RL)","Doesn't address LLM-specific KV-cache growth during generation",Base paper - our project specializes this for LLM/KV-cache case,https://ieeexplore.ieee.org/document/11223102/,N
"iGniter: Interference-Aware GPU Resource Provisioning for Predictable DNN Inference in the Cloud","Xu, Xu, Chen, Chen, Shang, Zhou, Liu",2023,IEEE Transactions on Parallel and Distributed Systems,Journal,Memory management within a GPU,"Interference-aware GPU resource provisioning for predictable inference","Not LLM-specific; static provisioning, not live memory-adaptive",Resource-management half of our problem,https://ieeexplore.ieee.org/document/10002315/,N
"Horus: Interference-Aware and Prediction-Based Scheduling in Deep Learning Systems","Yeung, Borowiec, Yang, Friday, Harper, Garraghan",2022,IEEE Transactions on Parallel and Distributed Systems,Journal,Cluster/multi-tenant scheduling,"Predicts GPU utilization ahead of time for co-location decisions","Not LLM-specific; prediction is coarse-grained, not per-token","Supports our 'predict before scheduling' angle",https://ieeexplore.ieee.org/document/9428512/,N
"InSS: An Intelligent Scheduling Orchestrator for Multi-GPU Inference With Spatio-Temporal Sharing","Han, Zhou, Xu, Zeng, Zhang",2024,IEEE Transactions on Parallel and Distributed Systems,Journal,Cluster/multi-tenant scheduling,"Joint placement + resource allocation + batch size across multiple GPUs","General DNN inference, not LLM KV-cache-aware",Closest cousin to our project among the 5 refs,https://ieeexplore.ieee.org/document/10601534/,N
"A Stochastic Approach for Scheduling AI Training Jobs in GPU-Based Systems","Filippini, Anselmi, Ardagna, Gaujal",2024,IEEE Transactions on Cloud Computing,Journal,Admission control / QoS,"Cloud-provider-perspective GPU job scheduling under constraints","Training jobs, not inference serving",Cloud-economics angle for jury discussion,https://ieeexplore.ieee.org/document/10328678/,N
"Gemini: Enabling Multi-Tenant GPU Sharing Based on Kernel Burst Estimation","Chen, Lin, Chou, Chou",2023,IEEE Transactions on Cloud Computing,Journal,Memory management within a GPU,"Fine-grained multi-tenant GPU sharing mechanism","Not LLM/KV-cache specific","Underlying mechanism for 'second worker on same GPU' idea",https://ieeexplore.ieee.org/document/9566822/,N
"Efficient Memory Management for Large Language Model Serving with PagedAttention","Kwon, Li, Zhuang, Sheng, Zheng, Yu, Gonzalez, Zhang, Stoica",2023,SOSP (ACM),Conference (background only),Memory management within a GPU,"Non-contiguous KV-cache paging, cuts fragmentation to <4%","Kernel-rewrite complexity; single-GPU only",Foundational context - not for jury citation list,https://arxiv.org/abs/2309.06180,N
"vAttention: Dynamic Memory Management for Serving LLMs without PagedAttention","Prabhu, Nayak, Mohan, Ramjee, Panwar",2024,ASPLOS (ACM),Conference (background only),Memory management within a GPU,"Contiguous virtual memory + CUDA demand paging","Still single-GPU; doesn't address cluster scheduling",Competing memory-management philosophy,https://arxiv.org/abs/2405.04437,N
"Orca: A Distributed Serving System for Transformer-Based Generative Models","Yu, Jeong, Kim, Kim, Chun",2022,OSDI (USENIX),Conference (background only),Batching strategies,"Iteration-level continuous batching","Left fragmentation unsolved",Historical context for batching evolution,,N
"Splitwise: Efficient Generative LLM Inference Using Phase Splitting","Patel et al.",2024,ISCA (IEEE),Conference (background only),Cluster/multi-tenant scheduling,"Disaggregates prefill/decode across machines","Doesn't address memory-aware admission control",Current industry direction context,,N
"DistServe: Disaggregating Prefill and Decoding for Goodput-Optimized LLM Serving","Zhong et al.",2024,OSDI (USENIX),Conference (background only),Cluster/multi-tenant scheduling,"Goodput-optimized prefill/decode placement","Cross-cluster memory-aware scheduling still heuristic",Current industry direction context,,N
